color,name,japanese,english
0x5ab9c1,金春色,こんぱるいろ,
0x224b8f,紺瑠璃,こんるり,
0xee7948,サーモンピンク JIS,さーもんぴんく,salmon pink
0xfeeeed,桜色 JIS,さくらいろ,
0x2e87a1,サックスブルー JIS,さっくすぶるー,saxe blue
0x2e87a1,サクソニーブルー,さくそにーぶるー,Saxony blue
0x508a88,錆浅葱 JIS,さびあさぎ,
0x6a3427,錆色 JIS,さびいろ,
0x395a5b,錆鼠,さびねず,
0x0054a6,サファイアブルー,さふぁいあぶるー,sapphire blue
0x0054a6,サファイア色,さふぁいあいろ,
0xffcc40,サフランイエロー,さふらんいえろー,saffron yellow
0xffcc40,サフラン色,さふらんいろ,
0xcec5f0,サフラン色,さふらんいろ,
0xf1e266,サルファーイエロー,さるふぁーいえろー,sulfur yellow
0xf8a7a0,珊瑚色 JIS,さんごいろ,
0xd3c6a6,サンド,さんど,sand
0xd3c6a6,サンドベージュ,さんどべーじゅ,sand beige
0xd3c6a6,黄草色,さっぷぐりーん,
0x00aeef,シアン JIS,しあん,cyan
0x00aeef,シアンブルー,しあんぶるー,cyan blue
0x8ac75a,シーグリーン JIS,しーぐりーん,sea green
0x235bc8,シーブルー,しーぶるー,sea blue
0x3f9877,ジェードグリーン,じぇーどぐりーん,jade green
0xfdddcd,シェルピンク JIS,しぇるぴんく,shell pink
0xffcc4e,雌黄,しおう,
0x757199,紫苑色,しおんいろ,
0x4d5269,飾磨紺,しかまこん,
0xba8d65,芝翫茶,しかんちゃ,
0x6d6f3e,信楽利休,しがらきりきゅう,
0xef4050,シグナルレッド JIS,しぐなるれっど,signal red
0xf7adc3,シクラメンピンク,しくらめんぴんく,cyclamen pink
0x14001a,紫黒色,しこくしょく,
0x411445,紫紺 JIS,しこん,
0x411445,紫根,しこん,
0x411445,宍色,ししいろ,
0x411445,肉色,ししいろ,
0x0a0017,漆黒,しっこく,
0xe15a28,シナバー,しなばー,cinnabar
0xad6820,シナモン,しなもん,cinnamon
0xf9aa8f,東雲色,しののめいろ,
0x905740,渋紙色,しぶがみいろ,
0x7b2800,赤銅色,しゃくどういろ,
0xebc976,ジャスミン,じゃすみん,jasmine
0xfcf16e,シャトルーズイエロー,しゃとるーずいえろー,chartreuse yellow
0xfcf16e,シャルトルーズイエロー,しゃるとるーずいえろー,chartreuse yellow
0xd3e173,シャトルーズグリーン JIS,しゃとるーずぐりーん,chartreuse green
0xd3e173,シャルトルーズグリーン,しゃるとるーずぐりーん,chartreuse green
0xe6be91,シャンパン,しゃんぱん,champagne
0xef454a,朱色 JIS,しゅいろ,
0xf6978f,シュリンプピンク,しゅりんぷぴんく,shrimp pink
0xed1c24,猩々緋,しょうじょうひ,
0xf0566e,薔薇色,しょうびいろ,
0x694d9f,菖蒲色,しょうぶいろ,
0xffd800,ジョンブリアン JIS,じょんぶりあん,jaune brillant
,シルバー,しるばー,silver
0xa1a3a6,シルバーグレイ JIS,しるばーぐれい,silver gray
0xa1a3a6,シルバーグレー,しるばーぐれー,silver gray
0xf0f0f0,白 JIS,しろ,
,白銀色,しろがねいろ,
,銀色,しろがねいろ,
0xa3d8f6,白縹,しろはなだ,
0xa3d8f6,白縹,しろきはなだ,
0xb1063a,真紅,しんく,
0xb1063a,深紅,しんく,
0xb1063a,真紅,しんこう,
0xb1063a,深紅,しんこう,
0xef454a,真朱,しんしゅ,
0xfffef2,真珠色,しんじゅいろ,
0x5ab9c1,新橋色 JIS,しんばしいろ,
0x005931,深緑色,しんりょくしょく,
0x973c3f,蘇芳 JIS,すおう,
0x973c3f,蘇方,すおう,
0x973c3f,蘇枋,すおう,
0xf15b47,スカーレット JIS,すかーれっと,scarlet
0xbfc5ca,スカイグレイ JIS,すかいぐれい,sky gray
0xbfc5ca,スカイグレー,すかいぐれー,sky gray
0x90d7ec,スカイブルー JIS,すかいぶるー,sky blue
0x90d7ec,スカイ,すかい,
0x684d44,煤竹色 JIS,すすたけいろ,
0x6c676e,スチールグレイ JIS,すちーるぐれい,steel gray
0x6c676e,スチールグレー,すちーるぐれー,steel gray
0x4682b4,スチールブルー,すちーるぶるー,steel blue
0xe8c473,ストロー,すとろー,straw
0xe8c473,ストローイエロー,すとろーいえろー,straw yellow
0xd83861,ストロベリー JIS,すとろべりー,strawberry
0xd3c6a6,砂色 JIS,すないろ,
0xf4fbfe,スノーホワイトJIS,すのーほわいと,snow white
0x004f2a,スプルース,すぷるーす,spruce
0xa4d5bd,スプレイグリーン,すぷれいぐりーん,spray green
0x28598f,スマルト,すまると,smalt
0x333132,墨 JIS,すみ,
0x333132,墨色,すみいろ,
0x705da8,菫色 JIS,すみれいろ,
0x5d5d63,スレートグレイ JIS,すれーとぐれい,slate gray
0x5d5d63,スレートグレー,すれーとぐれー,slate gray
0x60b49f,青磁色 JIS,せいじいろ,
0x60b49f,青瓷色,せいじいろ,
0x9a6229,青銅色,せいどうしょく,
0x004b88,青藍,せいらん,
0x00ae95,青緑色,せいりょくしょく,
0x88a476,セージグリーン,せーじぐりーん,sage green
0x7c402e,赤褐色,せきかっしょく,
0x7c402e,赤褐色,せっかっしょく,
0xf9c1cf,石竹色,せきちくいろ,
0x5d5d63,石板色,せきばんいろ,
0x5d5d63,石盤色,せきばんいろ,
0x6b4a2b,セピア JIS,せぴあ,sepia
0x6b4a2b,セピア色,せぴあいろ,
0xc5d6b9,セラドン,せらどん,celadon
0xe45653,ゼラニウムレッド,ぜらにうむれっど,geranium red
0x008caf,セルリアンブルー,せるりあんぶるー,cerulean blue
0x444e2b,仙斎茶,せんさいちゃ,
0x444e2b,千歳茶,せんさいちゃ,
0x444e2b,仙斎茶,せんざいちゃ,
0x444e2b,千歳茶,せんざいちゃ,
0x2b6442,千歳緑,せんざいみどり,
0xf3ecd8,象牙色 JIS,ぞうげいろ,
0x89b0d5,相思鼠,そうしねず,
0xf0566e,薔薇色,そうびいろ,
0xd47258,赭,そお,
0xd47258,朱,そお,
0xd47258,赭土,そぼに,
0xd47258,赭土,そおに,
0xe48b63,?,そひ,
0xe48b63,蘇比,そひ,
0xe48b63,素緋,そひ,
0xe48b63,?色,そひいろ,
0x90d7ec,空色 JIS,そらいろ,
0x90d7ec,天色,そらいろ,
0xec008c,品?,そるふぇりの,solferino
0xec008c,ソルフェリノ,そるふぇりの,solferino
0x010066,ダークブルー,だーくぶるー,dark blue
0x00b7ce,ターコイズブルー JIS,たーこいずぶるー,turquoise blue
0x1a4472,ターンブルブルー,たーんぶるぶるー,Turnbull's blue
0xe2aea8,退紅,たいこう,
0xe2aea8,褪紅,たいこう,
0xb4532a,代赭 JIS,たいしゃ,
0xb4532a,代赭色,たいしゃいろ,
0x9b95c9,大正藤,たいしょうふじ,
0xf58220,橙色 JIS,だいだいいろ,
0x989e58,ダックグリーン,だっくぐりーん,duck green
0x007394,ダックブルー,だっくぶるー,duck blue
0x91623f,煙草色,たばこいろ,
0x8d8790,ダブグレイ,だぶぐれい,dove gray
0x8d8790,ダブグレー,だぶぐれー,dove gray
0xffce7b,卵色 JIS,たまごいろ,
0xffce7b,玉子色,たまごいろ,
0xf37053,丹,たん,
0xb87644,タン JIS,たん,tan
0xfff1ab,淡黄色,たんこうしょく,
0x995d41,団十郎茶,だんじゅうろうちゃ,
0xabe1fa,淡青色,たんせいしょく,
